P1,names,P3,D,f_d,f_dM,ABBA_KSpval,BABA_KSpval,lon,lat
QUBI,EDGE-TN1,QULY,0.0127796,0.00909673,0.00583523,0.103702,0.03008,-82.48,36.56
QUBI,EDGE-TN2,QULY,0.193714,0.13427,0.0873108,4.09E-13,0,-83.11,36.15
QUBI,EDGE-TN3,QULY,0.152816,0.130939,0.0786378,0.000181895,0.830829,-83.07,36.17
QUBI,EDGE-TN4,QULY,0.111304,0.0678416,0.0466389,2.43E-06,0,-84.29,36.46
QUBI,EDGE-TN5,QULY,0.104935,0.0738803,0.0493085,0,0,-84.53,36.41
QUBI,EDGE-TN6,QULY,0.100897,0.0637236,0.042638,3.53E-10,0.000331215,-86.47,36.51
QUBI,EDGE-TN7,QULY,0.302237,0.267738,0.160593,0.00347644,0.0740741,-86.35,35.81
QUBI,EDGE-TN8,QULY,0.133063,0.0965816,0.0634793,0.03008,0,-86.59,35.74
QUBI,EDGE-TN9,QULY,0.165658,0.108917,0.0733571,1.96E-08,0.225121,-87.09,36.09
QUBI,EDGE-TN10,QULY,0.219303,0.132877,0.0883639,0,6.06E-08,-87.00,36.55
QUBI,EDGE-TN11,QULY,0.0870368,0.039326,0.0283541,0,1.67E-07,-87.44,36.52
QUBI,EDGE-TN12,QULY,0.169865,0.0882486,0.0620794,1.15E-06,3.95E-06,-87.85,36.50
QUBI,CORE-IL1,QULY,0.0464081,0.0301709,0.0204574,0.23144,0,-88.01,41.53
QUBI,CORE-IN1,QULY,0.0543154,0.0351693,0.0238351,0,0.0362585,-86.36,41.54
QUBI,CORE-IN2,QULY,0.0446107,0.0284984,0.0192613,0.5,0.00316677,-87.03,41.65
QUBI,CORE-IN3,QULY,0.0451861,0.0285354,0.019525,0.110626,0,-85.46,41.38
QUBI,CORE-IN4,QULY,0.0742848,0.0485822,0.0329662,0.0078125,0,-85.30,41.16
QUBI,CORE-OH1,QULY,0.0504204,0.0269693,0.0190997,7.45E-05,7.92E-13,-84.36,41.55
QUBI,CORE-IN5,QULY,0.055475,0.0341195,0.0234767,4.29E-05,0,-85.02,41.71
QUBI,CORE-MI1,QULY,0.0495587,0.0309452,0.021408,0.3088,0.0132682,-84.66,41.71
QUBI,CORE-OH2,QULY,0.0056637,0.00385638,0.00256618,0.0266646,0,-83.21,41.61
